Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Rift Valley fever--a threat for Europe?","/pubmed/20403309","Chevalier V, Pépin M, Plée L, Lancelot R.","Euro Surveill. 2010 Mar 11;15(10):19506. Review. Erratum in: Euro Surveill. 2010;15(11). pii: 19516. ","Euro Surveill.  2010","PubMed","citation","PMID:20403309","pubmed","20403309","create date:2010/04/21 | first author:Chevalier V",
"Development and characterization of monoclonal antibodies against Rift Valley fever virus nucleocapsid protein generated by DNA immunization.","/pubmed/20400862","Martín-Folgar R, Lorenzo G, Boshra H, Iglesias J, Mateos F, Borrego B, Brun A.","MAbs. 2010 May-Jun;2(3):275-84. Epub 2010 May 2.","MAbs.  2010","PubMed","citation","PMID:20400862 | PMCID:PMC2881254","pubmed","20400862","create date:2010/04/20 | first author:Martín-Folgar R",
"Emergence of zoonotic arboviruses by animal trade and migration.","/pubmed/20377873","Pfeffer M, Dobler G.","Parasit Vectors. 2010 Apr 8;3(1):35. doi: 10.1186/1756-3305-3-35.","Parasit Vectors.  2010","PubMed","citation","PMID:20377873 | PMCID:PMC2868497","pubmed","20377873","create date:2010/04/10 | first author:Pfeffer M",
"Rapid accumulation of virulent rift valley Fever virus in mice from an attenuated virus carrying a single nucleotide substitution in the m RNA.","/pubmed/20376320","Morrill JC, Ikegami T, Yoshikawa-Iwata N, Lokugamage N, Won S, Terasaki K, Zamoto-Niikura A, Peters CJ, Makino S.","PLoS One. 2010 Apr 1;5(4):e9986. doi: 10.1371/journal.pone.0009986. Erratum in: PLoS One. 2010;5(4). doi: 10.1371/annotation/326c5f5b-3da9-4b0b-b889-28d4f33d2543. ","PLoS One.  2010","PubMed","citation","PMID:20376320 | PMCID:PMC2848673","pubmed","20376320","create date:2010/04/09 | first author:Morrill JC",
"Verification of poultry carcass composting research through application during actual avian influenza outbreaks.","/pubmed/20375437","Flory GA, Peer RW.","ILAR J. 2010;51(2):149-57.","ILAR J.  2010","PubMed","citation","PMID:20375437","pubmed","20375437","create date:2010/04/09 | first author:Flory GA",
"Role of Culex and Anopheles mosquito species as potential vectors of rift valley fever virus in Sudan outbreak, 2007.","/pubmed/20222979","Seufi AM, Galal FH.","BMC Infect Dis. 2010 Mar 11;10:65. doi: 10.1186/1471-2334-10-65.","BMC Infect Dis.  2010","PubMed","citation","PMID:20222979 | PMCID:PMC2841661","pubmed","20222979","create date:2010/03/13 | first author:Seufi AM",
"Severe Rift Valley fever may present with a characteristic clinical syndrome.","/pubmed/20207858","Kahlon SS, Peters CJ, Leduc J, Muchiri EM, Muiruri S, Njenga MK, Breiman RF, White AC Jr, King CH.","Am J Trop Med Hyg. 2010 Mar;82(3):371-5. doi: 10.4269/ajtmh.2010.09-0669.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20207858 | PMCID:PMC2829894","pubmed","20207858","create date:2010/03/09 | first author:Kahlon SS",
"Facets of the Rift Valley fever outbreak in Northeastern Province, Kenya, 2006-2007.","/pubmed/20207854","King CH, Kahlon SS, Muiruri S, Labeaud AD.","Am J Trop Med Hyg. 2010 Mar;82(3):363. doi: 10.4269/ajtmh.2010.09-0800. No abstract available. ","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20207854 | PMCID:PMC2829890","pubmed","20207854","create date:2010/03/09 | first author:King CH",
"Challenges in predicting climate and environmental effects on vector-borne disease episystems in a changing world.","/pubmed/20190119","Tabachnick WJ.","J Exp Biol. 2010 Mar 15;213(6):946-54. doi: 10.1242/jeb.037564. Review.","J Exp Biol.  2010","PubMed","citation","PMID:20190119","pubmed","20190119","create date:2010/03/02 | first author:Tabachnick WJ",
"Insecticide resistance in Culex pipiens quinquefasciatus and Aedes albopictus mosquitoes from La Réunion Island.","/pubmed/20188834","Tantely ML, Tortosa P, Alout H, Berticat C, Berthomieu A, Rutee A, Dehecq JS, Makoundou P, Labbé P, Pasteur N, Weill M.","Insect Biochem Mol Biol. 2010 Apr;40(4):317-24. doi: 10.1016/j.ibmb.2010.02.005. Epub 2010 Feb 25.","Insect Biochem Mol Biol.  2010","PubMed","citation","PMID:20188834","pubmed","20188834","create date:2010/03/02 | first author:Tantely ML",
"Protection against lethal Rift Valley fever virus (RVFV) infection in transgenic IFNAR(-/-) mice induced by different DNA vaccination regimens.","/pubmed/20188678","Lorenzo G, Martín-Folgar R, Hevia E, Boshra H, Brun A.","Vaccine. 2010 Apr 9;28(17):2937-44. doi: 10.1016/j.vaccine.2010.02.018. Epub 2010 Feb 25.","Vaccine.  2010","PubMed","citation","PMID:20188678","pubmed","20188678","create date:2010/03/02 | first author:Lorenzo G",
"Species-independent bioassay for sensitive quantification of antiviral type I interferons.","/pubmed/20187932","Kuri T, Habjan M, Penski N, Weber F.","Virol J. 2010 Feb 26;7:50. doi: 10.1186/1743-422X-7-50.","Virol J.  2010","PubMed","citation","PMID:20187932 | PMCID:PMC2846901","pubmed","20187932","create date:2010/03/02 | first author:Kuri T",
"A novel system for identification of inhibitors of rift valley Fever virus replication.","/pubmed/21994655","Piper ME, Gerrard SR.","Viruses. 2010 Mar;2(3):731-47. doi: 10.3390/v2030731. Epub 2010 Mar 18.","Viruses.  2010","PubMed","citation","PMID:21994655 | PMCID:PMC3185646","pubmed","21994655","create date:2010/03/01 | first author:Piper ME",
"First serological investigation of peste-des-petits-ruminants and Rift Valley fever in Tunisia.","/pubmed/20167519","Ayari-Fakhfakh E, Ghram A, Bouattour A, Larbi I, Gribâa-Dridi L, Kwiatek O, Bouloy M, Libeau G, Albina E, Cêtre-Sossah C.","Vet J. 2011 Mar;187(3):402-4. doi: 10.1016/j.tvjl.2010.01.007. Epub 2010 Feb 18.","Vet J.  2011","PubMed","citation","PMID:20167519","pubmed","20167519","create date:2010/02/20 | first author:Ayari-Fakhfakh E",
"A broad-spectrum antiviral targeting entry of enveloped viruses.","/pubmed/20133606","Wolf MC, Freiberg AN, Zhang T, Akyol-Ataman Z, Grock A, Hong PW, Li J, Watson NF, Fang AQ, Aguilar HC, Porotto M, Honko AN, Damoiseaux R, Miller JP, Woodson SE, Chantasirivisal S, Fontanes V, Negrete OA, Krogstad P, Dasgupta A, Moscona A, Hensley LE, et al.","Proc Natl Acad Sci U S A. 2010 Feb 16;107(7):3157-62. doi: 10.1073/pnas.0909587107. Epub 2010 Jan 28.","Proc Natl Acad Sci U S A.  2010","PubMed","citation","PMID:20133606 | PMCID:PMC2840368","pubmed","20133606","create date:2010/02/06 | first author:Wolf MC",
"Use of Earth-observing satellite data helps predict, prevent disease outbreaks.","/pubmed/20124529","Kuehn BM.","JAMA. 2010 Feb 3;303(5):403-5. doi: 10.1001/jama.2010.32. No abstract available. ","JAMA.  2010","PubMed","citation","PMID:20124529","pubmed","20124529","create date:2010/02/04 | first author:Kuehn BM",
"Restriction of rift valley Fever virus virulence in mosquito cells.","/pubmed/21994651","Vaughn VM, Streeter CC, Miller DJ, Gerrard SR.","Viruses. 2010 Feb;2(2):655-75. doi: 10.3390/v2020655. Epub 2010 Feb 17.","Viruses.  2010","PubMed","citation","PMID:21994651 | PMCID:PMC3185606","pubmed","21994651","create date:2010/02/01 | first author:Vaughn VM",
"Agricultural diseases on the move early in the third millennium.","/pubmed/20080480","Arzt J, White WR, Thomsen BV, Brown CC.","Vet Pathol. 2010 Jan;47(1):15-27. doi: 10.1177/0300985809354350.","Vet Pathol.  2010","PubMed","citation","PMID:20080480","pubmed","20080480","create date:2010/01/19 | first author:Arzt J",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Intramuscular inoculation of calves with an experimental Newcastle disease virus-based vector vaccine elicits neutralizing antibodies against Rift Valley fever virus.","/pubmed/20079874","Kortekaas J, Dekker A, de Boer SM, Weerdmeester K, Vloet RP, de Wit AA, Peeters BP, Moormann RJ.","Vaccine. 2010 Mar 8;28(11):2271-6. doi: 10.1016/j.vaccine.2010.01.001. Epub 2010 Jan 14.","Vaccine.  2010","PubMed","citation","PMID:20079874","pubmed","20079874","create date:2010/01/19 | first author:Kortekaas J",
"Rift Valley fever virus subunit vaccines confer complete protection against a lethal virus challenge.","/pubmed/20056185","de Boer SM, Kortekaas J, Antonis AF, Kant J, van Oploo JL, Rottier PJ, Moormann RJ, Bosch BJ.","Vaccine. 2010 Mar 8;28(11):2330-9. doi: 10.1016/j.vaccine.2009.12.062. Epub 2010 Jan 5.","Vaccine.  2010","PubMed","citation","PMID:20056185","pubmed","20056185","create date:2010/01/09 | first author:de Boer SM",
"Climate impacts on environmental risks evaluated from space: a conceptual approach to the case of Rift Valley Fever in Senegal.","/pubmed/20052381","Tourre YM, Lacaux JP, Vignolles C, Lafaye M.","Glob Health Action. 2009 Nov 11;2. doi: 10.3402/gha.v2i0.2053.","Glob Health Action.  2009","PubMed","citation","PMID:20052381 | PMCID:PMC2799327","pubmed","20052381","create date:2010/01/07 | first author:Tourre YM",
"Emerging viral threats in Gabon: health capacities and response to the risk of emerging zoonotic diseases in Central Africa.","/pubmed/22460397","Bourgarel M, Wauquier N, Gonzalez JP.","Emerg Health Threats J. 2010;3:e7. doi: 10.3134/ehtj.10.163. Epub 2010 Jun 3.","Emerg Health Threats J.  2010","PubMed","citation","PMID:22460397 | PMCID:PMC3167654","pubmed","22460397","create date:2010/01/01 | first author:Bourgarel M",
"[Are we prepared? Highly contagious diseases].","/pubmed/20033937","Stich A, Gottschalk R.","Pharm Unserer Zeit. 2010;39(1):12-6. doi: 10.1002/pauz.201000347. Review. German.  No abstract available. ","Pharm Unserer Zeit.  2010","PubMed","citation","PMID:20033937","pubmed","20033937","create date:2009/12/25 | first author:Stich A",
"Distribution, host preference and infection rates of malaria vectors in Mauritania.","/pubmed/19961573","Dia I, Ba H, Mohamed SA, Diallo D, Lo B, Diallo M.","Parasit Vectors. 2009 Dec 4;2(1):61. doi: 10.1186/1756-3305-2-61.","Parasit Vectors.  2009","PubMed","citation","PMID:19961573 | PMCID:PMC2791761","pubmed","19961573","create date:2009/12/08 | first author:Dia I",
"When Nature turns cook: an epidemiological feast: report of the John Snow Society Pumphandle Lecture 2009, delivered by Dr David Heymann.","/pubmed/19958919","Stanwell-Smith R.","Public Health. 2009 Dec;123(12):814-6. doi: 10.1016/j.puhe.2009.10.013. No abstract available. ","Public Health.  2009","PubMed","citation","PMID:19958919","pubmed","19958919","create date:2009/12/05 | first author:Stanwell-Smith R",
"A replication-incompetent Rift Valley fever vaccine: chimeric virus-like particles protect mice and rats against lethal challenge.","/pubmed/19932911","Mandell RB, Koukuntla R, Mogler LJ, Carzoli AK, Freiberg AN, Holbrook MR, Martin BK, Staplin WR, Vahanian NN, Link CJ, Flick R.","Virology. 2010 Feb 5;397(1):187-98. doi: 10.1016/j.virol.2009.11.001. Epub 2009 Nov 24.","Virology.  2010","PubMed","citation","PMID:19932911 | PMCID:PMC2813982","pubmed","19932911","create date:2009/11/26 | first author:Mandell RB",
"Nonstructural NSs protein of rift valley fever virus interacts with pericentromeric DNA sequences of the host cell, inducing chromosome cohesion and segregation defects.","/pubmed/19889787","Mansuroglu Z, Josse T, Gilleron J, Billecocq A, Leger P, Bouloy M, Bonnefoy E.","J Virol. 2010 Jan;84(2):928-39. doi: 10.1128/JVI.01165-09. Epub 2009 Nov 4.","J Virol.  2010","PubMed","citation","PMID:19889787 | PMCID:PMC2798389","pubmed","19889787","create date:2009/11/06 | first author:Mansuroglu Z",
"The potential role of pigs in the enzootic cycle of rift valley Fever at alexandria governorate, egyp.","/pubmed/19889359","Youssef BZ.","J Egypt Public Health Assoc. 2009;84(3-4):331-44.","J Egypt Public Health Assoc.  2009","PubMed","citation","PMID:19889359","pubmed","19889359","create date:2009/11/06 | first author:Youssef BZ",
"Acute renal failure associated with the Rift Valley fever: a single center study.","/pubmed/19861868","El Imam M, El Sabiq M, Omran M, Abdalkareem A, El Gaili Mohamed MA, Elbashir A, Khalafala O.","Saudi J Kidney Dis Transpl. 2009 Nov;20(6):1047-52.","Saudi J Kidney Dis Transpl.  2009","PubMed","citation","PMID:19861868","pubmed","19861868","create date:2009/10/29 | first author:El Imam M",
"Present and future arboviral threats.","/pubmed/19857523","Weaver SC, Reisen WK.","Antiviral Res. 2010 Feb;85(2):328-45. doi: 10.1016/j.antiviral.2009.10.008. Epub 2009 Oct 24. Review.","Antiviral Res.  2010","PubMed","citation","PMID:19857523 | PMCID:PMC2815176","pubmed","19857523","create date:2009/10/28 | first author:Weaver SC",
"Rift valley fever vaccines.","/pubmed/19837291","Ikegami T, Makino S.","Vaccine. 2009 Nov 5;27 Suppl 4:D69-72. doi: 10.1016/j.vaccine.2009.07.046. Review.","Vaccine.  2009","PubMed","citation","PMID:19837291 | PMCID:PMC2764559","pubmed","19837291","create date:2009/10/20 | first author:Ikegami T",
"Rift valley fever virus L protein forms a biologically active oligomer.","/pubmed/19812169","Zamoto-Niikura A, Terasaki K, Ikegami T, Peters CJ, Makino S.","J Virol. 2009 Dec;83(24):12779-89. doi: 10.1128/JVI.01310-09. Epub 2009 Oct 7.","J Virol.  2009","PubMed","citation","PMID:19812169 | PMCID:PMC2786858","pubmed","19812169","create date:2009/10/09 | first author:Zamoto-Niikura A",
"Punta Toro virus (Bunyaviridae, Phlebovirus) infection in mice: strain differences in pathogenesis and host interferon response.","/pubmed/19783024","Mendenhall M, Wong MH, Skirpstunas R, Morrey JD, Gowen BB.","Virology. 2009 Dec 5;395(1):143-51. doi: 10.1016/j.virol.2009.09.003. Epub 2009 Sep 26.","Virology.  2009","PubMed","citation","PMID:19783024 | PMCID:PMC2783532","pubmed","19783024","create date:2009/09/29 | first author:Mendenhall M",
"A complex adenovirus-vectored vaccine against Rift Valley fever virus protects mice against lethal infection in the presence of preexisting vector immunity.","/pubmed/19776190","Holman DH, Penn-Nicholson A, Wang D, Woraratanadharm J, Harr MK, Luo M, Maher EM, Holbrook MR, Dong JY.","Clin Vaccine Immunol. 2009 Nov;16(11):1624-32. doi: 10.1128/CVI.00182-09. Epub 2009 Sep 23.","Clin Vaccine Immunol.  2009","PubMed","citation","PMID:19776190 | PMCID:PMC2772385","pubmed","19776190","create date:2009/09/25 | first author:Holman DH",
"Dual functions of Rift Valley fever virus NSs protein: inhibition of host mRNA transcription and post-transcriptional downregulation of protein kinase PKR.","/pubmed/19751406","Ikegami T, Narayanan K, Won S, Kamitani W, Peters CJ, Makino S.","Ann N Y Acad Sci. 2009 Sep;1171 Suppl 1:E75-85. doi: 10.1111/j.1749-6632.2009.05054.x.","Ann N Y Acad Sci.  2009","PubMed","citation","PMID:19751406 | PMCID:PMC3137120","pubmed","19751406","create date:2009/09/16 | first author:Ikegami T",
"The interferon response circuit in antiviral host defense.","/pubmed/19739399","Haller O, Weber F.","Verh K Acad Geneeskd Belg. 2009;71(1-2):73-86. Review.","Verh K Acad Geneeskd Belg.  2009","PubMed","citation","PMID:19739399","pubmed","19739399","create date:2009/09/11 | first author:Haller O",
"[Rift Valley Fever: veterinary aspects and impact for human health].","/pubmed/19725386","Cêtre-Sossah C, Albina E.","Med Trop (Mars). 2009 Aug;69(4):358-61. French. ","Med Trop (Mars).  2009","PubMed","citation","PMID:19725386","pubmed","19725386","create date:2009/09/04 | first author:Cêtre-Sossah C",
"Hazards of hepatitis at the Hajj.","/pubmed/19717108","Rafiq SM, Rashid H, Haworth E, Booy R.","Travel Med Infect Dis. 2009 Jul;7(4):239-46. doi: 10.1016/j.tmaid.2008.09.008. Epub 2008 Nov 21.","Travel Med Infect Dis.  2009","PubMed","citation","PMID:19717108","pubmed","19717108","create date:2009/09/01 | first author:Rafiq SM",
"Novel infectious agents causing uveitis.","/pubmed/19711015","Khairallah M, Chee SP, Rathinam SR, Attia S, Nadella V.","Int Ophthalmol. 2010 Oct;30(5):465-83. doi: 10.1007/s10792-009-9319-6. Epub 2009 Aug 27. Review.","Int Ophthalmol.  2010","PubMed","citation","PMID:19711015","pubmed","19711015","create date:2009/08/28 | first author:Khairallah M",
"[Rift Valley fever virus: evolution in progress].","/pubmed/19702138","Tolou H, Plumet S, Leparc-Goffart I, Couissinier-Paris P.","Med Trop (Mars). 2009 Jun;69(3):215-20. French. ","Med Trop (Mars).  2009","PubMed","citation","PMID:19702138","pubmed","19702138","create date:2009/08/26 | first author:Tolou H",
"Reverse genetics technology for Rift Valley fever virus: current and future applications for the development of therapeutics and vaccines.","/pubmed/19682499","Bouloy M, Flick R.","Antiviral Res. 2009 Nov;84(2):101-18. doi: 10.1016/j.antiviral.2009.08.002. Epub 2009 Aug 12. Review.","Antiviral Res.  2009","PubMed","citation","PMID:19682499 | PMCID:PMC2801414","pubmed","19682499","create date:2009/08/18 | first author:Bouloy M",
"Development of a RVFV ELISA that can distinguish infected from vaccinated animals.","/pubmed/19678951","McElroy AK, Albariño CG, Nichol ST.","Virol J. 2009 Aug 13;6:125. doi: 10.1186/1743-422X-6-125.","Virol J.  2009","PubMed","citation","PMID:19678951 | PMCID:PMC2733132","pubmed","19678951","create date:2009/08/15 | first author:McElroy AK",
"Arbovirus surveillance of mosquitoes collected at sites of active Rift Valley fever virus transmission: Kenya, 2006-2007.","/pubmed/19658258","Crabtree M, Sang R, Lutomiah J, Richardson J, Miller B.","J Med Entomol. 2009 Jul;46(4):961-4.","J Med Entomol.  2009","PubMed","citation","PMID:19658258","pubmed","19658258","create date:2009/08/08 | first author:Crabtree M",
"Assessing the impact of climate change on vector-borne viruses in the EU through the elicitation of expert opinion.","/pubmed/19580695","Gale P, Brouwer A, Ramnial V, Kelly L, Kosmider R, Fooks AR, Snary EL.","Epidemiol Infect. 2010 Feb;138(2):214-25. doi: 10.1017/S0950268809990367. Epub 2009 Jul 7.","Epidemiol Infect.  2010","PubMed","citation","PMID:19580695","pubmed","19580695","create date:2009/07/08 | first author:Gale P",
"Pathological studies on postvaccinal reactions of Rift Valley fever in goats.","/pubmed/19580675","Kamal SA.","Virol J. 2009 Jul 6;6:94. doi: 10.1186/1743-422X-6-94.","Virol J.  2009","PubMed","citation","PMID:19580675 | PMCID:PMC2715389","pubmed","19580675","create date:2009/07/08 | first author:Kamal SA",
